Unnamed: 0,*出处ISBN/AS-ID,*页码,被拆解语句,*事件名【主体名+动词+客体名（地点名）】,*事件ID,*起始日期（YYYY/MM/DD）,结束日期（YYYY/MM/DD）,时间备注（非公历纪年，无年份信息）,*地点,*地点ID,*主体人物/组织,*主体ID,客体人物/组织,客体ID,关系,人物备注,谓词,事件类型,作品,作品ID,作品备注,会议,会议ID,会议备注,其他说明
,7010021562,1,陈毅出生于四川省中部乐至县薛苞镇正沟湾村（又名“药师湾”）一栋明朝年间的有3重院落的老式庭院——“药师院”。,陈毅出生（正沟湾村）,246,1901-08-26,,,正沟湾村,247.0,陈毅,agent_person/7993,,,,,,,,,,,,,
,7010021562,192,陈毅在梅岭山上被敌四十六师围困20余日，苦虑不得脱身，写出“绝笔”——《梅岭三章》诗，表达献身革命的决心和革命必胜的信念。,陈毅写作《梅岭三章》（梅岭）,1206,1905-04-19,,1936年11、12月间,梅岭,1191.0,陈毅,agent_person/7993,,,,,创作,,梅岭三章,21403,,,,,
,7010021562,24,陈毅等备取生始入学。学校学制为一年。开设的主要课程为法文，其次为代数、几何、物理、美术等，为到法国工读作准备。,陈毅就读留法预备学校（成都市）,2409,1918-05-01,,,成都市,339.0,陈毅,agent_person/7993,,,,,入学,,,,,,,,
,7010021562,28,学校张榜毕业考试结果，陈毅为第15名，兄陈孟熙为第14名，兄弟俩双双中选。,陈毅中选（成都市）,362,1919-04-16,,,成都市,339.0,陈毅,agent_person/7993,,,,,入学,,,,,,,,
,7010021562,29,上午，成都留法预备学校第一批赴法勤工俭学生原定牛市口会齐出发，因是日恰逢赶场（集市贸易），遂临时改在沙河铺集合启程。,陈毅启程赴法（沙河铺）,363,1919-06-01,,,沙河铺,364.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,33,陈毅和同学等从二洋泾桥码头登上法国“麦浪”（Manam）号商船。,陈毅乘船前往法国（上海市）,2368,1919-08-12,,,上海市,375.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,37,经法华教育会介绍，陈毅与兄陈孟熙等4人进巴黎近郊克里西门外施奈德公司（Etablissement Schneider）所属的一个分厂做工。,陈毅进施奈德公司做工（巴黎）,398,1920-04-01,,1920年4月中下旬,巴黎,397.0,陈毅,agent_person/7993,,,,,,,,,,,,,
,7010021562,39,国际劳动节，法国工人举行大规模罢工。陈毅与本厂同学开会，决定与工人一起行动，为国争光。受到法国工人热烈欢迎。,陈毅参与法国大规模罢工（巴黎）,399,1920-05-01,,,巴黎,397.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
,7010021562,45,下午2时30分，和周恩来、刘清扬、张君劢、李树华、赵志游等300多名代表在巴黎哲人厅召开拒款大会。大会主席为赵志游。,陈毅同周恩来等召开拒款大会（巴黎）,412,1921-06-30,,,巴黎,397.0,周恩来,agent_person/8216,陈毅,agent_person/7993,同事,,召开,会议,,,,,,,
,7010021562,47,各地勤工俭学生代表蔡和森、赵世炎、李隆郅、李维汉、王若飞、陈毅、向警予、罗学瓒、张昆弟、徐特立、萧三等100多人，在巴黎召开大会，正式成立各地勤工俭学联合委员会，陈毅被推为该委员会委员。,陈毅成为勤工俭学联合委员会委员（巴黎）,420,1921-09-17,,,巴黎,397.0,陈毅,agent_person/7993,,,,,,任职,,,,,,,
,7010021562,53,下午5时，抵上海黄浦江码头。,陈毅抵达黄浦江码头（上海市）,2495,1921-11-23,,,上海市,375.0,陈毅,agent_person/7993,,,,,,移动,,,,,,,
,7010021562,63,到北京香山碧云寺，进温泉学院（即中法大学）文科班读书。,陈毅进入温泉学院（即中法大学）文科班学习（北京市）,2496,1923-10-01,,,北京市,348.0,陈毅,agent_person/7993,,,,,入学,,,,,,,,
,7010021562,63,经中法大学党支部负责人颜昌颐、萧振声介绍加入中国共产党。,陈毅加入中国共产党（北京市）,457,1923-11-01,,,北京市,348.0,陈毅,agent_person/7993,,,,,参加,,,,,,,,
